𫝈	㑮
锋面雨	鋒面雨
铺面房	鋪面房
镜面呢	鏡面呢
铁板面	鐵板麵
长寿面	長壽麵
门面话	門面話
关怀面	關懷面
关节面	關節面
附面层	附面層
阵面上	陣面上
阴暗面	陰暗面
阳春面	陽春麵
双凸面	雙凸面
双方面	雙方面
双面人	雙面人
双面谍	雙面諜
杂和面	雜和麵
杂酱面	雜醬麵
鸡丝面	雞絲麵
鸡腿面	雞腿麵
鸡蛋面	雞蛋麵
云吞面	雲吞麵
需求面	需求面
靠前面	靠前面
靠外面	靠外面
靠后面	靠後面
靠水面	靠水面
靠里面	靠裏面
面团团	面團團
面子上	面子上
面子话	面子話
面对面	面對面
面板厂	面板廠
面板股	面板股
面條目	面條目
面皮厚	面皮厚
面皮薄	面皮薄
面积分	面積分
面临到	面臨到
面试官	面試官
面试会	面試會
面面观	面面觀
题材面	題材面
颜面角	顏面角
颜面骨	顏面骨
颠儿面	顛兒面
类球面	類球面
顾面子	顧面子
顾颜面	顧顏面
馄饨面	餛飩麵
驳面子	駁面子
鳝鱼面	鱔魚麵
面人儿	麵人兒
面包刀	麵包刀
面包屑	麵包屑
面包师	麵包師
面包店	麵包店
面包心	麵包心
面包房	麵包房
面包树	麵包樹
面包渣	麵包渣
面包片	麵包片
面包皮	麵包皮
面包粉	麵包粉
面包花	麵包花
面包车	麵包車
面坯儿	麵坯兒
面子药	麵子藥
面摊子	麵攤子
面条儿	麵條兒
面条目	麵條目
面疙瘩	麵疙瘩
面码儿	麵碼兒
面粉袋	麵粉袋
面食类	麵食類
面点师	麵點師
面点王	麵點王
麻酱面	麻醬麵
黎曼面	黎曼面
黑暗面	黑暗面
黑面包	黑麵包
点线面	點線面
鼠面人	鼠面人
龙虾面	龍蝦麵
龙须面	龍鬚麵
一面之交	一面之交
一面之缘	一面之緣
一面之词	一面之詞
一面之识	一面之識
一面之辞	一面之辭
一面之雅	一面之雅
一面如旧	一面如舊
三对六面	三對六面
三面亚当	三面亞當
三面夏娃	三面夏娃
三面红旗	三面紅旗
三头两面	三頭兩面
下面请看	下面請看
不徇颜面	不徇顏面
不留情面	不留情面
不见世面	不見世面
不见识面	不見識面
不讲情面	不講情面
不识局面	不識局面
不连续面	不連續面
中型钟面	中型鐘面
中控面板	中控面板
中筋面粉	中筋麵粉
乱首垢面	亂首垢面
二次曲面	二次曲面
人如其面	人如其面
人心如面	人心如面
人机介面	人機介面
人机界面	人機界面
人面桃花	人面桃花
人面狮身	人面獅身
人面兽心	人面獸心
什锦炒面	什錦炒麵
代数曲面	代數曲面
以泪洗面	以淚洗面
以点带面	以點帶面
低筋面粉	低筋麵粉
充斥市面	充斥市面
克当一面	克當一面
内面包的	內面包的
全面包围	全面包圍
全面包裹	全面包裹
全面实施	全面實施
全面战争	全面戰爭
全面禁止	全面禁止
全面规划	全面規劃
全面进行	全面進行
两面三刀	兩面三刀
两面二舌	兩面二舌
两面作战	兩面作戰
两面夹攻	兩面夾攻
两面手法	兩面手法
两面讨好	兩面討好
两面转圜	兩面轉圜
两面顾全	兩面顧全
两头三面	兩頭三面
两头白面	兩頭白面
八面受敌	八面受敵
八面圆通	八面圓通
八面威风	八面威風
八面玲珑	八面玲瓏
八面见光	八面見光
冷心冷面	冷心冷面
冷面冷心	冷面冷心
凸多面体	凸多面體
凸面部分	凸面部分
初次见面	初次見面
别开生面	別開生面
北面称臣	北面稱臣
十二面体	十二面體
十方地面	十方地面
十面埋伏	十面埋伏
千里犹面	千里猶面
半面之交	半面之交
半面之旧	半面之舊
南面为王	南面爲王
南面百城	南面百城
南面称伯	南面稱伯
南面称孤	南面稱孤
南面称王	南面稱王
反面人物	反面人物
反面教员	反面教員
反面教材	反面教材
反面无情	反面無情
反面角色	反面角色
另一方面	另一方面
另开生面	另開生面
可展曲面	可展曲面
吃板刀面	吃板刀麵
各如其面	各如其面
名望体面	名望體面
吐司面包	吐司麵包
向里面冲	向裏面衝
和风拂面	和風拂面
唾面自干	唾面自乾
单位面积	單位面積
囚首丧面	囚首喪面
囚首垢面	囚首垢面
四六面体	四六面體
四方八面	四方八面
四面八方	四面八方
四面受困	四面受困
四面受敌	四面受敵
四面楚歌	四面楚歌
四面玲珑	四面玲瓏
四面见光	四面見光
圆形面包	圓形麵包
圆面大耳	圓面大耳
图形界面	圖形界面
团头聚面	團頭聚面
土司面包	土司麵包
地下水面	地下水面
地面控制	地面控制
地面气压	地面氣壓
地面温度	地面溫度
地面灌溉	地面灌溉
地面部队	地面部隊
地面零点	地面零點
场面阔绰	場面闊綽
外面儿光	外面兒光
大型钟面	大型鐘面
大面儿上	大面兒上
大面皮儿	大面皮兒
大头面目	大頭面目
威风八面	威風八面
字面意思	字面意思
字面意义	字面意義
字面解释	字面解釋
审曲面势	審曲面勢
封面人物	封面人物
封面女郎	封面女郎
封面设计	封面設計
小型钟面	小型鐘面
就汤下面	就湯下麵
尹邢避面	尹邢避面
布面相片	布面相片
平行六面	平行六面
平面图形	平面圖形
平面媒体	平面媒體
平面几何	平面幾何
平面描迹	平面描跡
平面曲线	平面曲線
平面测量	平面測量
平面艺术	平面藝術
平面雕刻	平面雕刻
店面广告	店面廣告
广东炒面	廣東炒麵
庐山面目	廬山面目
廷争面折	廷爭面折
建筑面积	建築面積
往里面冲	往裏面衝
心慈面软	心慈面軟
心活面软	心活面軟
怒容满面	怒容滿面
情面难却	情面難卻
愁容满面	愁容滿面
意大利面	意大利麵
手面赚吃	手面賺吃
打个照面	打個照面
拂面而来	拂面而來
抛头露面	拋頭露面
按照字面	按照字面
掩面大哭	掩面大哭
掩面失色	掩面失色
掩面而泣	掩面而泣
掩面而过	掩面而過
抚面痛哭	撫面痛哭
播种面积	播種面積
扑面而来	撲面而來
改头换面	改頭換面
政治局面	政治局面
败坏门面	敗壞門面
数据介面	數據介面
方方面面	方方面面
方面兼圻	方面兼圻
方面大耳	方面大耳
方面官员	方面官員
旋转曲面	旋轉曲面
春风满面	春風滿面
晚娘面孔	晚娘面孔
书面报告	書面報告
书面许可	書面許可
书面资料	書面資料
月球表面	月球表面
有何面目	有何面目
有效面积	有效面積
朝鲜冷面	朝鮮冷麵
本来面目	本來面目
朱唇粉面	朱唇粉面
朱颜粉面	朱顏粉面
板起面孔	板起面孔
桃花人面	桃花人面
桌面儿上	桌面兒上
桌面系统	桌面系統
橡子面儿	橡子麵兒
正反两面	正反兩面
正多面体	正多面體
正面人物	正面人物
正面攻击	正面攻擊
死要面子	死要面子
水面系数	水面係數
水面舰艇	水面艦艇
汗流满面	汗流滿面
没有面目	沒有面目
没见世面	沒見世面
没见食面	沒見食面
油光满面	油光滿面
油茶面儿	油茶麵兒
油头粉面	油頭粉面
泡面哲学	泡麵哲學
泡面市场	泡麵市場
洗心革面	洗心革面
洗面革心	洗面革心
活动桌面	活動桌面
流域面积	流域面積
泪容满面	淚容滿面
泪流满面	淚流滿面
清汤挂面	清湯掛麵
满面堆笑	滿面堆笑
满面怒容	滿面怒容
满面愁容	滿面愁容
满面春生	滿面春生
满面春风	滿面春風
满面杀气	滿面殺氣
满面生春	滿面生春
满面生花	滿面生花
满面笑容	滿面笑容
满面红胀	滿面紅脹
满面羞愧	滿面羞愧
满面羞惭	滿面羞慚
满面通红	滿面通紅
满面雪霜	滿面雪霜
满面飞红	滿面飛紅
灌溉面积	灌溉面積
灰面鵟鹰	灰面鵟鷹
灰头土面	灰頭土面
灰头草面	灰頭草面
炒面块子	炒麵塊子
烤面包机	烤麵包機
无缘见面	無緣見面
焦面大士	焦面大士
墙面而立	牆面而立
片面之言	片面之言
片面之词	片面之詞
牛肉拉面	牛肉拉麵
牛肉汤面	牛肉湯麵
牛肉炒面	牛肉炒麵
牛肉面节	牛肉麵節
牛角面包	牛角麵包
牛头马面	牛頭馬面
猴面包树	猴麵包樹
独当一面	獨當一面
兽心人面	獸心人面
球面三角	球面三角
球面几何	球面幾何
瑞郎方面	瑞郎方麵
用户界面	用戶界面
当面唾骂	當面唾罵
当面对质	當面對質
当面言明	當面言明
当面错过	當面錯過
病容满面	病容滿面
白净面皮	白淨面皮
白淨面皮	白淨面皮
白面书生	白面書生
白面书郎	白面書郎
白面无须	白面無鬚
白面鼯鼠	白面鼯鼠
白首北面	白首北面
眉南面北	眉南面北
眼泪洗面	眼淚洗面
眼看四面	眼看四面
眼观四面	眼觀四面
睟面盎背	睟面盎背
知人知面	知人知面
磨石子面	磨石子面
碍于情面	礙於情面
神头鬼面	神頭鬼面
票面价值	票面價值
笑容满面	笑容滿面
笑面夜叉	笑面夜叉
粉面朱唇	粉面朱唇
粉面油头	粉面油頭
粉饰门面	粉飾門面
粪秽蔑面	糞穢衊面
红光满面	紅光滿面
红面番鸭	紅面番鴨
素未谋面	素未謀面
素面朝天	素面朝天
网开一面	網開一面
网开三面	網開三面
羊角面包	羊角麵包
羞面见人	羞面見人
义大利面	義大利麵
老起面皮	老起面皮
耕地面积	耕地面積
耳提面命	耳提面命
耳提面训	耳提面訓
耳红面赤	耳紅面赤
肉袒面缚	肉袒面縛
背山面水	背山面水
脸面之情	臉面之情
脸面无光	臉面無光
舌面元音	舌面元音
舌面前音	舌面前音
舌面如镜	舌面如鏡
舌面后音	舌面後音
落在后面	落在後面
叶面对称	葉面對稱
叶面施肥	葉面施肥
蓬头垢面	蓬頭垢面
蓬首垢面	蓬首垢面
薄面含嗔	薄面含嗔
蚵仔面线	蚵仔麵線
螺旋曲面	螺旋曲面
表面信息	表面信息
表面光洁	表面光潔
表面外膜	表面外膜
表面工夫	表面工夫
表面张力	表面張力
表面质量	表面質量
装修门面	裝修門面
装点门面	裝點門面
复式路面	複式路面
复数平面	複數平面
西点面包	西點麵包
见不到面	見不到面
见过世面	見過世面
触事面墙	觸事面牆
讨没脸面	討沒臉面
谋取面试	謀取面試
识面台官	識面臺官
猪脚面线	豬腳麵線
资料介面	資料介面
路面等级	路面等級
转面无情	轉面無情
迎面而来	迎面而來
遮头盖面	遮頭蓋面
避不见面	避不見面
金头银面	金頭銀面
铁面判官	鐵面判官
铁面御史	鐵面御史
铁面无情	鐵面無情
铁面无私	鐵面無私
防毒面具	防毒面具
防护面具	防護面具
双面娇娃	雙面嬌娃
杂合面儿	雜合麵兒
杂和面儿	雜和麵兒
难施面目	難施面目
电子店面	電子店面
露面抛头	露面拋頭
青面獠牙	青面獠牙
靠外面走	靠外面走
靠里面走	靠裏面走
面上无光	面上無光
面不改容	面不改容
面不改色	面不改色
面北眉南	面北眉南
面向连接	面向連接
面命耳提	面命耳提
面善心恶	面善心惡
面善心狠	面善心狠
面圆耳大	面圓耳大
面壁下帷	面壁下帷
面壁功深	面壁功深
面壁坐禅	面壁坐禪
面壁思过	面壁思過
面如傅粉	面如傅粉
面如冠玉	面如冠玉
面如噀血	面如噀血
面如土色	面如土色
面如敷粉	面如敷粉
面如桃花	面如桃花
面如槁木	面如槁木
面如死灰	面如死灰
面如灰土	面如灰土
面如白纸	面如白紙
面如白蜡	面如白蠟
面如美玉	面如美玉
面如重枣	面如重棗
面如金纸	面如金紙
面如铁色	面如鐵色
面子情儿	面子情兒
面对现实	面對現實
面带微笑	面帶微笑
面带愁容	面帶愁容
面带忧容	面帶憂容
面带病容	面帶病容
面带笑容	面帶笑容
面恶心善	面惡心善
面折廷争	面折廷爭
面授机宜	面授機宜
面方口阔	面方口闊
面月印记	面月印記
面有喜色	面有喜色
面有忧色	面有憂色
面有菜色	面有菜色
面有难色	面有難色
面无人色	面無人色
面无血色	面無血色
面无表情	面無表情
面墙而立	面牆而立
面生不熟	面生不熟
面白无须	面白無鬚
面皮失色	面皮失色
面皮焦黄	面皮焦黃
面皮铁青	面皮鐵青
面目一新	面目一新
面目全非	面目全非
面目可憎	面目可憎
面目清秀	面目清秀
面目狰狞	面目猙獰
面目黄瘦	面目黃瘦
面红耳热	面紅耳熱
面红耳赤	面紅耳赤
面红过耳	面紅過耳
面红面赤	面紅面赤
面缚舆榇	面縛輿櫬
面缚衔璧	面縛銜璧
面临困难	面臨困難
面色如土	面色如土
面色如生	面色如生
面色苍白	面色蒼白
面若春花	面若春花
面薄腰纤	面薄腰纖
面见江东	面見江東
面试工作	面試工作
面誉背毁	面譽背譭
面貌一新	面貌一新
面貌全非	面貌全非
面部表情	面部表情
面阔口方	面闊口方
面露不悦	面露不悅
面青唇白	面青唇白
面面俱全	面面俱全
面面俱到	面面俱到
面面俱圆	面面俱圓
面面厮觑	面面廝覷
面面相窥	面面相窺
面面相觑	面面相覷
面黄唇白	面黃唇白
面黄肌瘦	面黃肌瘦
面黄肌闳	面黃肌閎
革面洗心	革面洗心
头面人物	頭面人物
颜面扫地	顏面掃地
颜面神经	顏面神經
颠番面皮	顛番面皮
马面战棚	馬面戰棚
体面起来	體面起來
高筋面粉	高筋麵粉
鱼丸粗面	魚丸粗麵
鸟面鹄形	鳥面鵠形
鸠形鹄面	鳩形鵠面
鹄面鸟形	鵠面鳥形
鹄面鸠形	鵠面鳩形
麸皮面包	麩皮麵包
面包师傅	麵包師傅
面杖吹火	麵杖吹火
黄沙盖面	黃沙蓋面
黎曼曲面	黎曼曲面
黑面琵鹭	黑面琵鷺
点面结合	點面結合
不合	不合
九合	九合
交合	交合
付合	付合
并合	併合
偶合	偶合
光合	光合
公合	公合
六合	六合
凝合	凝合
分合	分合
切合	切合
勘合	勘合
化合	化合
匡合	匡合
汇合	匯合
协合	協合
印合	印合
参合	參合
只合	只合
合上	合上
合下	合下
合乎	合乎
合付	合付
合住	合住
合作	合作
合并	合併
合借	合借
合做	合做
合传	合傳
合刃	合刃
合到	合到
合券	合券
合刻	合刻
合剂	合劑
合力	合力
合十	合十
合口	合口
合吃	合吃
合合	合合
合同	合同
合唱	合唱
合围	合圍
合在	合在
合报	合報
合伙	合夥
合奏	合奏
合好	合好
合婚	合婚
合子	合子
合宅	合宅
合定	合定
合宜	合宜
合局	合局
合卺	合巹
合度	合度
合式	合式
合弦	合弦
合弹	合彈
合彩	合彩
合影	合影
合后	合後
合得	合得
合从	合從
合心	合心
合情	合情
合意	合意
合成	合成
合战	合戰
合手	合手
合折	合折
合抱	合抱
合拍	合拍
合掌	合掌
合采	合採
合扑	合撲
合击	合擊
合拢	合攏
合数	合數
合于	合於
合族	合族
合昏	合昏
合是	合是
合时	合時
合历	合曆
合会	合會
合朔	合朔
合本	合本
合板	合板
合校	合校
合格	合格
合机	合機
合款	合款
合欢	合歡
合杀	合殺
合气	合氣
合沓	合沓
合法	合法
合注	合注
合洗	合洗
合派	合派
合流	合流
合准	合準
合溜	合溜
合演	合演
合火	合火
合照	合照
合营	合營
合爲	合爲
合牵	合牽
合独	合獨
合班	合班
合球	合球
合理	合理
合璧	合璧
合瓣	合瓣
合生	合生
合用	合用
合当	合當
合众	合眾
合着	合着
合租	合租
合窆	合窆
合站	合站
合符	合符
合算	合算
合签	合簽
合约	合約
合组	合組
合编	合編
合缝	合縫
合纵	合縱
合纤	合纖
合群	合群
合声	合聲
合股	合股
合肥	合肥
合苦	合苦
合叶	合葉
合著	合著
合葬	合葬
合盖	合蓋
合补	合補
合计	合計
合该	合該
合调	合調
合请	合請
合谐	合諧
合谋	合謀
合读	合讀
合变	合變
合谷	合谷
合资	合資
合购	合購
合起	合起
合踢	合踢
合踩	合踩
合身	合身
合辙	合轍
合办	合辦
合通	合通
合造	合造
合遝	合遝
合适	合適
合醵	合醵
合金	合金
合钓	合釣
合锯	合鋸
合镜	合鏡
合闸	合閘
合音	合音
合领	合領
合头	合頭
合养	合養
合骑	合騎
合体	合體
合髻	合髻
合龙	合龍
吻合	吻合
和合	和合
咬合	咬合
囓合	囓合
四合	四合
回合	回合
场合	場合
夜合	夜合
契合	契合
好合	好合
媒合	媒合
密合	密合
寡合	寡合
对合	對合
巧合	巧合
布合	布合
成合	成合
打合	打合
投合	投合
折合	折合 摺合
拼合	拼合
捏合	捏合
捻合	捻合
接合	接合
揉合	揉合
掺合	摻合
撮合	撮合
搅合	攪合
整合	整合
暌合	暌合
暗合	暗合
会合	會合
正合	正合
比合	比合
水合	水合
沓合	沓合
混合	混合
凑合	湊合
溶合	溶合
乌合	烏合
熔合	熔合
热合	熱合
牉合	牉合
牵合	牽合
理合	理合
璧合	璧合
瓦合	瓦合
当合	當合
叠合	疊合
愈合	癒合
癒合	癒合
百合	百合
相合	相合
睽合	睽合
砌合	砌合
磨合	磨合
符合	符合
簇合	簇合
糅合	糅合
纠合	糾合
纳合	納合
索合	索合
组合	組合
结合	結合
络合	絡合
统合	統合
综合	綜合
缀合	綴合
缝合	縫合
缩合	縮合
总合	總合
耦合	耦合
聚合	聚合
联合	聯合
胶合	膠合
苟合	苟合
融合	融合
蚁合	蟻合
复合	複合
说合	說合
调合	調合
跑合	跑合
迎合	迎合
连合	連合
遇合	遇合
适合	適合
配合	配合
重合	重合
野合	野合
钉合	釘合
钿合	鈿合
闭合	閉合
合中	閤中
合儿	閤兒
合家	閤家
合府	閤府
合眼	閤眼
关合	關合
附合	附合
集合	集合
离合	離合
饱合	飽合
斗合	鬥合
鸠合	鳩合
黏合	黏合
啮合	齧合
齧合	齧合
三合土	三合土
三合房	三合房
三合星	三合星
三合会	三合會
三合板	三合板
三合院	三合院
三结合	三結合
上合屋	上閤屋
不合作	不合作
不合式	不合式
不合格	不合格
不合法	不合法
不合理	不合理
不合算	不合算
不合节	不合節
不合群	不合群
不合适	不合適
不整合	不整合
不符合	不符合
不适合	不適合
二合一	二合一
信合社	信合社
六合区	六合區
六合彩	六合彩
六合拳	六合拳
六合路	六合路
凝合力	凝合力
分进合	分進合
动配合	動配合
化合价	化合價
化合性	化合性
化合态	化合態
化合物	化合物
化合量	化合量
各回合	各回合
合不来	合不來
合不合	合不合
合作化	合作化
合作学	合作學
合作市	合作市
合作所	合作所
合作案	合作案
合作社	合作社
合作节	合作節
合作署	合作署
合作者	合作者
合并在	合併在
合并成	合併成
合并有	合併有
合并案	合併案
合并为	合併爲
合并症	合併症
合八字	合八字
合口味	合口味
合口呼	合口呼
合吃族	合吃族
合同法	合同法
合唱团	合唱團
合唱曲	合唱曲
合唱队	合唱隊
合伙人	合夥人
合夥人	合夥人
合奏团	合奏團
合奏曲	合奏曲
合子钱	合子錢
合子饼	合子餅
合山市	合山市
合川区	合川區
合得来	合得來
合恩角	合恩角
合情理	合情理
合意儿	合意兒
合成乳	合成乳
合成器	合成器
合成数	合成數
合成氨	合成氨
合成法	合成法
合成物	合成物
合成皮	合成皮
合成词	合成詞
合成体	合成體
合指症	合指症
合掌瓜	合掌瓜
合时宜	合時宜
合板眼	合板眼
合格率	合格率
合格者	合格者
合格证	合格證
合格赛	合格賽
合欢山	合歡山
合欢扇	合歡扇
合欢结	合歡結
合气道	合氣道
合水县	合水縣
合江省	合江省
合江县	合江縣
合法化	合法化
合法性	合法性
合流处	合流處
合浦县	合浦縣
合理化	合理化
合理性	合理性
合理标	合理標
合众国	合眾國
合众社	合眾社
合稀释	合稀釋
合约人	合約人
合约价	合約價
合约书	合約書
合约法	合約法
合群性	合群性
合肥人	合肥人
合肥市	合肥市
合肥县	合肥縣
合胃口	合胃口
合色鞋	合色鞋
合著者	合著者
合订本	合訂本
合计为	合計爲
合议制	合議制
合议庭	合議庭
合谷穴	合谷穴
合资案	合資案
合起来	合起來
合辙儿	合轍兒
合逻辑	合邏輯
合金钢	合金鋼
合阳县	合陽縣
合体字	合體字
合龙门	合龍門
君合国	君合國
和合僧	和合僧
和合日	和合日
和合汤	和合湯
四合一	四合一
四合房	四合房
四合院	四合院
国合会	國合會
夜合花	夜合花
夜合钱	夜合錢
大合唱	大合唱
大集合	大集合
契合度	契合度
子集合	子集合
察合台	察合臺
拉合子	拉合子
拉合尔	拉合爾
接合上	接合上
接合处	接合處
接合点	接合點
摩合罗	摩合羅
折合椅	摺合椅
撮合山	撮合山
整合到	整合到
整合商	整合商
整合型	整合型
整合式	整合式
整合性	整合性
整合成	整合成
整合法	整合法
最适合	最適合
会合处	會合處
会合点	會合點
核合成	核合成
核融合	核融合
乐合彩	樂合彩
正反合	正反合
正合适	正合適
水合物	水合物
汞合金	汞合金
没合杀	沒合殺
没合煞	沒合煞
海百合	海百合
混合器	混合器
混合型	混合型
混合层	混合層
混合式	混合式
混合性	混合性
混合林	混合林
混合比	混合比
混合法	混合法
混合泳	混合泳
混合物	混合物
混合组	混合組
混合语	混合語
混合体	混合體
凑合着	湊合着
烟合包	煙合包
白合金	白合金
百合子	百合子
百合科	百合科
百合花	百合花
相符合	相符合
相结合	相結合
相融合	相融合
石百合	石百合
砌合法	砌合法
磨合期	磨合期
磨合罗	磨合羅
空集合	空集合
粘合剂	粘合劑
组合式	組合式
组合成	組合成
组合法	組合法
组合为	組合爲
组合菜	組合菜
组合论	組合論
结合剂	結合劑
结合律	結合律
结合成	結合成
结合水	結合水
结合为	結合爲
结合线	結合線
结合能	結合能
结合韵	結合韻
结合体	結合體
结合点	結合點
络合物	絡合物
统合力	統合力
统合性	統合性
统合体	統合體
经合会	經合會
综合型	綜合型
综合征	綜合徵
综合性	綜合性
综合法	綜合法
综合症	綜合症
综合语	綜合語
综合课	綜合課
综合险	綜合險
综合类	綜合類
综合体	綜合體
缝合带	縫合帶
缝合线	縫合線
缝合处	縫合處
老合儿	老合兒
聚合果	聚合果
聚合物	聚合物
聚合脢	聚合脢
聚合酶	聚合酶
聚合体	聚合體
联合制	聯合制
联合国	聯合國
联合报	聯合報
联合会	聯合會
联合机	聯合機
联合社	聯合社
联合号	聯合號
联合行	聯合行
联合体	聯合體
联合党	聯合黨
脊百合	脊百合
胶合板	膠合板
苏合香	蘇合香
融合式	融合式
融合为	融合爲
融合线	融合線
复合光	複合光
复合句	複合句
复合国	複合國
复合型	複合型
复合字	複合字
复合年	複合年
复合式	複合式
复合性	複合性
复合技	複合技
复合板	複合板
复合架	複合架
复合模	複合模
复合机	複合機
复合物	複合物
复合管	複合管
复合膜	複合膜
复合药	複合藥
复合词	複合詞
复合体	複合體
调合漆	調合漆
车百合	車百合
适合于	適合於
适合者	適合者
配合上	配合上
配合度	配合度
配合款	配合款
配合着	配合着
配合题	配合題
金合欢	金合歡
钛合金	鈦合金
银合欢	銀合歡
铝合金	鋁合金
锆合金	鋯合金
镁合金	鎂合金
镍合金	鎳合金
铁合金	鐵合金
合家子	閤家子
合家欢	閤家歡
合府上	閤府上
阿合奇	阿合奇
集合令	集合令
集合到	集合到
集合式	集合式
集合号	集合號
集合论	集合論
集合体	集合體
集合点	集合點
杂合菜	雜合菜
离合器	離合器
离合板	離合板
离合诗	離合詩
静配合	靜配合
非合并	非合併
魔合罗	魔合羅
黏合剂	黏合劑
黏合力	黏合力
黏合成	黏合成
点集合	點集合
一拍即合	一拍即合
一答一合	一答一合
一言不合	一言不合
三元合金	三元合金
三部合唱	三部合唱
上合组织	上合組織
不合时宜	不合時宜
不合标准	不合標準
不合规定	不合規定
不合逻辑	不合邏輯
不合体统	不合體統
不大合时	不大合時
不甚合意	不甚合意
不约而合	不約而合
不谋而合	不謀而合
中西合并	中西合併
中西合璧	中西合璧
九合一匡	九合一匡
乳液聚合	乳液聚合
二部合唱	二部合唱
互助合作	互助合作
伍德合金	伍德合金
低合金钢	低合金鋼
供销合作	供銷合作
信口开合	信口開合
信用合作	信用合作
偷合取容	偷合取容
偷合苟容	偷合苟容
光合作用	光合作用
光合细菌	光合細菌
光能合成	光能合成
两合公司	兩合公司
公平合理	公平合理
公私合营	公私合營
公开场合	公開場合
分久必合	分久必合
分分合合	分分合合
分工合作	分工合作
分工整合	分工整合
分进合击	分進合擊
切合实际	切合實際
切合需要	切合需要
判然不合	判然不合
前仰后合	前仰後合
前合后仰	前合後仰
前合后偃	前合後偃
剑合珠还	劍合珠還
劳动合同	勞動合同
劳资合作	勞資合作
劳逸结合	勞逸結合
势合形离	勢合形離
化合反应	化合反應
化学合成	化學合成
千载一合	千載一合
反经合义	反經合義
可结合性	可結合性
吃合家欢	吃合家歡
合不拢嘴	合不攏嘴
合久必分	合久必分
合乎逻辑	合乎邏輯
合于时宜	合于時宜
合作主义	合作主義
合作伙伴	合作伙伴
合作协议	合作協議
合作商店	合作商店
合作无懈	合作無懈
合作无间	合作無間
合作农场	合作農場
合作金库	合作金庫
合则两利	合則兩利
合口元音	合口元音
合同各方	合同各方
合同文字	合同文字
合嘴合舌	合嘴合舌
合在一起	合在一起
合契若神	合契若神
合家大小	合家大小
合影留念	合影留念
合心合意	合心合意
合情合理	合情合理
合成代谢	合成代謝
合成作用	合成作用
合成染料	合成染料
合成乐器	合成樂器
合成树脂	合成樹脂
合成橡胶	合成橡膠
合成洗涤	合成洗滌
合成石油	合成石油
合成纤维	合成纖維
合成色素	合成色素
合成语境	合成語境
合成语音	合成語音
合法斗争	合法鬥爭
合浦珠还	合浦珠還
合浦还珠	合浦還珠
合照留念	合照留念
合理布局	合理佈局
合理合情	合理合情
合理密植	合理密植
合理错误	合理錯誤
合璧连珠	合璧連珠
合瓣花冠	合瓣花冠
合当有事	合當有事
合眼摸象	合眼摸象
合众为一	合眾爲一
合众银行	合眾銀行
合纵连横	合縱連橫
合义复词	合義複詞
合而为一	合而爲一
合菜戴帽	合菜戴帽
合该有事	合該有事
合辙押韵	合轍押韻
合金元素	合金元素
合零为整	合零爲整
同心合力	同心合力
同心合意	同心合意
同志合道	同志合道
同流合污	同流合污
同符合契	同符合契
和合二仙	和合二仙
咬合不正	咬合不正
咬合调整	咬合調整
售货合约	售貨合約
严丝合缝	嚴絲合縫
四部合唱	四部合唱
因缘巧合	因緣巧合
国共合作	國共合作
国际合作	國際合作
土洋结合	土洋結合
外合里差	外合裏差
外合里应	外合裏應
多哈回合	多哈回合
多边合作	多邊合作
大叶合欢	大葉合歡
天人合一	天人合一
天作之合	天作之合
天心和合	天心和合
天缘巧合	天緣巧合
天缘凑合	天緣湊合
夫妇合璧	夫婦合璧
夫妇好合	夫婦好合
契合金兰	契合金蘭
媮合苟容	媮合苟容
孤辰合注	孤辰合注
官商合办	官商合辦
官私合营	官私合營
对合起来	對合起來
巴比合金	巴比合金
师徒合同	師徒合同
建教合作	建教合作
影像合成	影像合成
后仰前合	後仰前合
后合前仰	後合前仰
心口合一	心口合一
心物合一	心物合一
志同心合	志同心合
志同气合	志同氣合
志同道合	志同道合
性格不合	性格不合
悲欢合散	悲歡合散
悲欢离合	悲歡離合
情孚意合	情孚意合
情投意合	情投意合
意合情投	意合情投
意气相合	意氣相合
意见不合	意見不合
凭媒说合	憑媒說合
技术合作	技術合作
拉合尔市	拉合爾市
拼合版画	拼合版畫
排列组合	排列組合
接合生殖	接合生殖
接合菌纲	接合菌綱
接合起来	接合起來
揣合逢迎	揣合逢迎
擎拳合掌	擎拳合掌
携手合作	攜手合作
政教合一	政教合一
整合系统	整合系統
整数集合	整數集合
文星和合	文星和合
文武合一	文武合一
断钗重合	斷釵重合
日月合璧	日月合璧
易熔合金	易熔合金
景从云合	景從雲合
曲线拟合	曲線擬合
会合周期	會合週期
有机化合	有機化合
有机合成	有機合成
朝升暮合	朝升暮合
机缘巧合	機緣巧合
检警合一	檢警合一
正合我意	正合我意
毁方瓦合	毀方瓦合
民间合会	民間合會
气味相合	氣味相合
没合眼儿	沒合眼兒
流离遇合	流離遇合
混合使用	混合使用
混合列车	混合列車
混合感染	混合感染
混合模型	混合模型
混合毒剂	混合毒劑
混合疫苗	混合疫苗
混合结构	混合結構
混合经济	混合經濟
混合肥料	混合肥料
混合裁判	混合裁判
混合齿列	混合齒列
凑四合六	湊四合六
溶液聚合	溶液聚合
乌合之卒	烏合之卒
乌合之众	烏合之眾
燃料组合	燃料組合
特征联合	特徵聯合
牵合附会	牽合附會
珠联璧合	珠聯璧合
珠还合浦	珠還合浦
璧合珠联	璧合珠聯
璧合珠连	璧合珠連
